Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Iron Grilled Cheese Sandwich Kid's Meal,123,360,13,8,0.4,35,1070,41,2,1,16
Turkey Wrap,126,260,12,2.5,0.3,25,720,25,3,2,12
Kid's Fries,99,260,11,0.5,0.2,0,660,38,3,0,3
Applesauce,113,90,0.2,0,0,0,30,23,1,20,0.2
Banana,126,110,0.4,0.1,0,0,1,29,3,15,1
Strawberry Banana Smoothie (Kid's),484,190,0.4,0.1,0,0,15,47,1,37,1
French Fries (Kid's),99,260,11,0.5,0.2,0,660,38,3,0,3
French Fries Regular,113,290,12,1,0.2,0,760,43,4,0,3
French Fries (Large),184,480,20,1.5,0.4,0,1230,70,6,0,5
Onion Rings,113,260,14,2,0.2,0,730,32,2,3,4
Poutine (Large),538,1280,67,22,2.5,110,3710,131,10,3,37
Poutine (Small),256,610,32,11,1,55,177,60,5,1,18
Banana Cream Pie Blizzard Mini,223,410,14,9,0.5,35,180,63,0.5,48,8
Banana Cream Pie Blizzard (Small),326,610,20,13,0.5,55,290,98,0.5,72,11
Banana Cream Pie Blizzard (Medium),414,800,24,15,1,65,370,133,1,94,13
Banana Cream Pie Blizzard (Large),581,1100,32,19,1,90,510,188,2,133,19
Choco Cherry Love Blizzard Mini,194,320,11,7,0.4,35,130,50,0,44,7
Choco Cherry Love Blizzard (Small),297,560,22,16,0.5,50,190,83,1,72,11
Choco Cherry Love Blizzard (Medium),411,850,35,27,0.5,65,250,122,3,106,15
Choco Cherry Love Blizzard (Large),586,1230,51,39,1,90,350,175,5,152,21
Chocolate Xtreme Blizzard Mini,201,410,17,9,0.4,40,210,59,2,48,8
Chocolate Xtreme Blizzard (Small),287,640,27,15,0.5,60,340,90,3,72,12
Chocolate Xtreme Blizzard (Medium),365,820,35,20,1,80,450,116,4,92,15
Chocolate Xtreme Blizzard (Large),500,1140,50,27,1,110,630,161,6,128,21
