Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg),Calcium (mg),Iron (mg),Zinc (mg),Vitamin A (μg),Vitamin E (mg),Vitamin D (μg),Vitamin C (mg),Thiamin (mg),Riboflavin (mg)
"National Smoothie Day, Mystery Smoothie (Medium)",410,3,2,0,10,60,92,1,83,1,0,130,0.36,0,0,0.3,0,9,0.024,0.026
"National Smoothie Day, Mystery Smoothie (Small)",290,2,1,0,5,45,67,1,61,0,0,104,0.36,0,0,0,0,5.4,0,0
Non-Fat Greek Yogurt Boost,40,0,0,0,0,30,3,0,2,7,0,104,0,,0,,,0,,
Oatmeal,150,2,0,0,0,20,28,3,5,5,0,104,0,0,0,0,0,1.8,0,0
Oatmilk Frozen Dessert (Blue Scoop),100,5,4.5,0,0,0,13,1,9,1,0,0,0.36,,,,,,,
Oatmilk Frozen Dessert (Green Scoop),120,6,6,0,0,0,16,1,11,1,0,0,0.36,,,,,,,
Oatmilk Frozen Dessert (Red Scoop),60,3,2.5,0,0,0,8,0,5,0,0,0,0,,,,,,,
Oatmilk (8 fl oz),120,5,0.5,0,0,110,18,,7,2,0,390,1.08,,,,,0,,0.39
Off The Eaten Path Chickpea Veggie Chip,130,4.5,0,0,0,150,18,3,2,4,0,52,0.72,,,,0,,,
Off The Eaten Path Rosemary + Olive Oil Hummus Chip,130,5,0.5,0,0,170,18,2,1,3,0,26,0.72,,,,0,,,
Orange Carrot Twist Juice (Large),350,2,0,0,0,270,82,12,55,7,0,195,1.8,0.88,11610,2.25,0,360,0.54,0.26
Orange Carrot Twist Juice (Medium),280,1.5,0,0,0,210,64,9,43,5,0,195,1.44,0.66,9090,1.5,0,279,0.42,0.195
Orange Carrot Twist Juice (Small),200,1,0,0,0,150,47,7,31,4,0,130,1.08,0.44,6660,1.2,0,207,0.3,0.13
Orange C-Booster Smoothie (Large),400,2.5,1,0,5,30,90,3,76,4,0,130,4.5,3.3,1890,12,20,324,1.08,1.17
Orange C-Booster Smoothie (Medium),310,2,1,0,5,25,71,3,59,3,0,130,4.5,3.3,1800,12,20,270,1.08,1.17
Orange C-Booster Smoothie (Small),230,1.5,0.5,0,5,15,52,2,43,2,0,104,4.5,3.3,1800,12,20,243,1.08,1.17
Orange Dream Machine Smoothie (Large),530,2.5,1.5,0,10,160,116,0,108,9,0,325,1.08,0,18,0,0,81,0.024,0.026
Orange Dream Machine Smoothie (Medium),420,2,1.5,0,5,115,91,0,85,7,0,260,0.72,0,18,0,0,72,0.024,0.026
Orange Dream Machine Smoothie (Small),300,1.5,1,0,5,90,65,0,61,5,0,195,0.72,0,0,0,0,45,0,0
Orange Ginger Cayenne Shot,25,0,0,0,0,0,5,0,3,0,0,0,0,0,18,0,0,22.5,0.024,0
Orange Juice (8 fl oz),110,0,0,0,0,10,25,,25,1,0,0,0,0,,,,36,0,0
Orange Sherbet (Blue Scoop),50,0.5,0,0,0,10,12,0,11,0,0,26,0,,,,,,,
Orange Sherbet (Green Scoop),70,1,0.5,0,5,10,15,0,14,0,0,26,0,,,,,,,
Orange Sherbet (Red Scoop),35,0,0,0,0,5,8,0,7,0,0,26,0,,,,,,,
Orange Supreme Juice (Large),350,1.5,0,0,0,125,85,9,56,5,0,130,1.44,0.44,5040,0.9,0,216,0.3,0.195
Orange Supreme Juice (Medium),300,1,0,0,0,85,74,7,49,4,0,104,1.08,0.44,3330,0.6,0,171,0.24,0.195
Orange Supreme Juice (Small),240,1,0,0,0,80,59,6,39,3,0,78,1.08,0.44,3330,0.6,0,162,0.24,0.13
Organic Agave (Topping),25,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
Pb + Banana Protein (Pea) Smoothie (Large),710,34,8,0,25,500,72,7,51,42,0,650,5.4,0.22,135,3,0,13.5,0.024,0.078
Pb + Banana Protein (Pea) Smoothie (Medium),550,24,6,0,20,420,57,5,41,36,0,585,5.4,0.22,90,2.25,0,13.5,0.024,0.052
Pb + Banana Protein (Pea) Smoothie (Small),480,23,5,0,15,390,43,5,30,33,0,455,5.4,0,72,2.25,0,9,0.024,0.052
Pb + Banana Protein (Soy) Smoothie (Large),700,33,8,0,25,310,70,7,49,41,0,520,1.44,0.22,0,3,0,13.5,0.024,0.078
Pb + Banana Protein (Soy) Smoothie (Medium),530,23,6,0,20,220,54,5,39,35,0,390,1.08,0.22,0,2.25,0,13.5,0.024,0.052
Pb + Banana Protein (Soy) Smoothie (Small),460,22,5,0,15,190,41,5,28,32,0,325,1.08,0,0,2.25,0,9,0.024,0.052
Pb + Banana Protein (Whey) Smoothie (Large),830,35,9,0,100,370,91,7,68,51,0,650,1.8,0.22,135,3,0,13.5,0.024,0.078
Pb + Banana Protein (Whey) Smoothie (Medium),650,25,7,0,95,290,71,5,53,44,0,585,1.44,0.22,135,2.25,0,13.5,0.024,0.052
Pb + Banana Protein (Whey) Smoothie (Small),560,23,6,0,90,260,53,5,38,42,0,520,1.44,0,90,2.25,0,9,0.024,0.052
Pb Chocolate Love Smoothie (Large),820,34,9,0,30,380,113,10,83,30,0,780,2.7,0.22,135,3,0,22.5,0.048,0.104
Pb Chocolate Love Smoothie (Medium),670,25,7,0,25,300,99,8,75,23,0,650,2.7,0.22,135,2.25,0,18,0.024,0.078
Pb Chocolate Love Smoothie (Small),430,14,4.5,0,20,200,68,5,53,15,0,455,1.44,0.22,90,0.9,0,13.5,0.024,0.052
Pea Protein Boost,45,0.5,0,0,0,100,1,0,1,9,0,78,1.8,,,,0,,,
Peach Flavored Pear Juice Blend (8 fl oz),45,0.5,0,0,0,100,1,0,1,9,0,78,1.8,,,,0,,,
Peach Perfection Smoothie (Large),360,1,0,0,0,40,88,5,76,3,0,78,1.8,0.22,900,1.5,0,117,0.096,0.078
Peach Perfection Smoothie (Medium),310,0.5,0,0,0,35,76,4,66,3,0,78,1.8,0.22,810,1.5,0,90,0.072,0.078
Peach Perfection Smoothie (Small),200,0,0,0,0,25,51,3,44,2,0,52,1.08,0.22,540,0.9,0,63,0.048,0.052
Peanut Butter Boost,100,9,1.5,0,0,55,4,1,1,4,0,26,0.36,,0,0.9,,0,,
Peanut Butter Moo'd Smoothie (Large),940,29,6,0,10,420,146,7,124,31,0,650,2.7,0,54,3,0,7.2,0.024,0.026
Peanut Butter Moo'd Smoothie (Medium),730,20,4.5,0,10,330,120,5,103,23,0,585,2.7,0,54,2.25,0,7.2,0,0.026
Peanut Butter Moo'd Smoothie (Small),450,10,2.5,0,5,200,77,3,67,14,0,325,1.44,0,18,0.9,0,3.6,0,0.026
Pear Apple Juice Blend (8 fl oz),110,0,0,0,0,10,27,,24,0,0,26,0,0,,,,0,0,0
Peenya Kowlada Smoothie (Large),580,6,5,0,5,90,126,3,111,6,0,260,0.72,0,0,0,0,7.2,0.024,0.026
Peenya Kowlada Smoothie (Medium),440,4,3,0,5,70,99,2,88,5,0,195,0.36,0,0,0,0,7.2,0,0.026
Peenya Kowlada Smoothie (Small),310,3.5,2.5,0,5,45,67,2,59,3,0,130,0.36,0,0,0,0,3.6,0,0.026
Pineapple Juice (8 fl oz),120,0,0,0,0,10,30,,30,1,0,0,0,0,,,,0,0,0
Pineapple Sherbet (Blue Scoop),60,0.5,0,0,0,10,13,0,12,0,0,26,0,,,,,,,
Pineapple Sherbet (Green Scoop),70,1,0.5,0,5,10,16,0,15,0,0,26,0,,,,,,,
Pineapple Sherbet (Red Scoop),35,0,0,0,0,5,8,0,7,0,0,26,0,,,,,,,
