Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"2 x 2 x 2 (No Eggs and Meat, 55+)",,,,320,15,6,0,60,1060,39,2,7,9
"Breakfast Sampler (No Egg, 55+)",,,,600,41,14,0,80,1460,41,3,5,17
"French Toast (No Meat, 55+)",,,,490,25,11,0.5,170,650,54,3,14,11
"Rise 'N Shine (No Eggs and Meat, 55+)",,,,220,14,3,0,0,240,20,2,0,2
BLT (55+),,,,390,25,6,0,20,800,27,2,5,14
Fresh Berry Salad With Crispy Chicken (55+),,,,470,26,4,0,40,640,42,14,10,22
Fresh Berry Salad With Grilled Chicken (55+),,,,330,19,3,0,50,870,26,13,10,21
Crispy Fish (55+),,,,880,54,16,0,75,2520,74,7,2,25
Crispy Shrimp (55+),,,,780,48,8,0.5,65,2110,75,5,13,14
Pot Roast (55+),,,,220,12,6,0,85,970,6,0,1,23
Cinnamon Dippers,,,,760,35,11,0,10,460,100,2,70,10
Ultimate Chocolate Cake,,,,750,46,27,1,110,150,82,6,59,7
Waffle Sundae With Caramel,,,,320,13,8,0,55,240,45,1,30,5
Waffle Sundae With Strawberriers,,,,280,13,8,0,50,210,39,2,23,4
Spam (Side),2 slices,,,170,14,5,0,35,550,2,0,1,8
Avocado (Side),,,,80,7,1,0,0,0,4,3,0,1
Buttered English Muffin (Side),,,,180,5,3,0,10,290,29,1,1,5
Buttermilk Biscuit With Butter (Side),,,,810,64,26,1,45,1360,53,1,4,6
Buttermilk Biscuit With Country Gravy (Side),,,,750,54,20,0.5,25,1710,59,1,5,7
Buttermilk Biscuit With Sausage Gravy (Side),,,,770,54,19,0,10,1800,62,1,5,8
Corn Tortilla (Side),,,,110,1.5,0,0,0,50,23,2,0,2
Crispy Breakfast Potatoes (Side),,,,280,13,2.5,0,0,1120,37,5,1,5
Flour Tortilla (Side),,,,300,8,2.5,0,0,870,50,1,3,8
French Fries (Side),,,,320,15,2.5,0,0,1170,42,4,0,5
Fresh Fruit (Side),,,,50,0,0,0,0,5,14,1,11,1
Grits (Side),,,,110,0,0,0,0,85,23,1,0,2
Hash Browns (Side),,,,220,14,3,0,0,240,20,2,0,2
Onion Rings (Side),,,,560,30,6,0,0,1160,64,4,6,7
Plant-Based Sausage (Side),,,,240,18,6,0,0,530,9,4,0,12
Scrapple (Side),,,,290,18,7,0,110,960,16,0,0,18
Ham (Side),1 slice,,,120,2.5,1,0,55,1350,5,0,3,20
Smoked Sausage Link (Side),,,,490,45,15,0,110,1400,4,0,2,16
Chocolate Chip Pancakes With Buttermilk (Side),3 pancakes,,,600,19,8,0,65,1520,95,5,43,14
Chocolate Chocolate Chip Pancakes (Side),3 pancakes,,,610,20,9,0,65,1520,98,7,43,16
Cinn-a-Stack Pancakes (Side),3 pancakes,,,680,23,10,0,65,1710,107,5,55,13
Double Blueberry Pancakes (Side),3 pancakes,,,470,12,4,0,65,1490,79,5,27,13
Lemon Ricotta Blueberry Protein Pancakes (Side),3 pancakes,,,580,19,6,0,80,1310,74,6,31,31
Mexican Tres Leches Pancakes (Side),3 pancakes,,,540,19,9,0,85,1560,77,3,27,14
New York Cheesecake Pancakes (Side),3 pancakes,,,690,26,11,0,120,1670,98,5,39,17
Original Buttermilk Pancakes (Side),3 pancakes,,,450,18,7,0,80,1560,59,3,11,13
Protein Power Pancakes (Side),3 pancakes,,,510,21,8,0.5,90,1270,53,4,14,27
Strawberry Banana Pancakes (Side),3 pancakes,,,530,12,4,0,65,1500,94,6,34,14
Strawberry Banana Protein Pancakes (Side),3 pancakes,,,570,14,3,0,65,1220,86,7,36,29
Protein Power Pancakes (Side),2 pancakes,,,360,17,7,0,65,870,35,2,10,18
Multigrain Bread (Side),,,,160,3.5,0,0,0,270,26,3,2,6
Rosette Whipped Topping,,,,25,2,1.5,0,5,0,1,0,1,0
Whipped Butter,,,,70,8,5,0,20,65,0,0,0,0
Fried Egg (Side),1 Egg,,,60,3,1,0,165,65,2,0,0,6
Hardboiled Egg (Side),1 Egg,,,80,5,1.5,0,185,60,1,0,1,6
Poached Egg (Side),1 Egg,,,60,4,1.5,0,165,130,0,0,0,6
Scrambled Egg (Side),1 Egg,,,110,9,2.5,0,205,105,1,0,0,7
Scrambled Egg White (Side),1 Egg,,,30,1,0,0,0,90,0,0,0,5
Bacon (Side),2 pieces,,,100,8,3,0,10,320,1,0,0,6
Ham (Side),2 pieces,,,60,1.5,0,0,30,670,2,0,1,10
Pork Sausage Link (Side),2 pieces,,,210,21,7,0,35,330,1,0,0,5
Turkey Bacon (Side),2 pieces,,,60,4.5,1,0,20,310,1,0,1,5
Turkey Sausage Link (Side),2 pieces,,,90,7,1.5,0,35,390,0,0,0,8
Buttered Toast With Jam - Multigrain (Side),,,,210,6,2,0,5,290,35,3,10,6
Buttered Toast With Jam - Rye Bread (Side),,,,320,8,4.5,0,15,500,55,5,20,7
Buttered Toast With Jam - Sourdough (Side),,,,170,4.5,2.5,0,10,270,30,1,10,4
Buttered Toast With Jam - Wheatberry (Side),,,,350,11,6,0,20,500,58,5,17,7
Buttered Toast With Jam - White (Side),,,,250,7,4,0,15,290,43,2,20,5
Buttered Toast With Jam - Whole Wheat (Side),,,,340,11,6,0,20,430,52,5,21,10
Multigrain Bread (Side),,,,160,3.5,0,0,0,270,26,3,2,6
Rye Bread (Side),,,,200,2.5,0,0,0,450,36,4,3,6
Sourdough (Side),,,,110,1,0,0,0,240,21,1,2,4
Wheatberry Bread (Side),,,,210,3,0.5,0,0,430,40,4,0,7
White Bread (Side),,,,130,1.5,0,0,0,240,25,1,3,4
Whole Wheat Bread (Side),,,,200,3,0.5,0,0,370,34,5,3,10
Honey Mustard,,,,170,13,2,0,10,330,12,0,12,1
IHOP Sauce,,,,170,16,2.5,0,5,360,5,0,5,0
Ranch Dressing,,,,160,16,2.5,0,15,260,1,0,1,1
Iced Cold Brew,,,473,0,0,0,0,0,10,0,0,0,0
Iced Cold Brew,,,887,0,0,0,0,0,10,0,0,0,0
