Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
20 oz Diet Coke Bottle,,,591.0,0,0.0,0.0,0.0,0,70,0,0.0,0,0
Diet Dr. Pepper (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,120,0,0.0,0,0
Diet Dr. Pepper (30 fl oz),,,887.0,0,0.0,0.0,0.0,0,180,0,0.0,0,0
Diet Mountain Dew (20 fl oz),,,591.0,10,0.0,0.0,0.0,0,90,1,0.0,1,0
Diet Mountain Dew (30 fl oz),,,887.0,10,0.0,0.0,0.0,0,140,1,0.0,1,0
Diet Mountain Dew (12 fl oz can),,,355.0,0,0.0,0.0,0.0,0,50,0,0.0,0,0
Diet Pepsi (12 fl oz can),,,355.0,0,0.0,0.0,0.0,0,40,0,0.0,0,0
Diet Pepsi (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,95,0,0.0,0,0
Diet Pepsi (20 fl oz Bottle),,,591.0,0,0.0,0.0,0.0,0,60,0,0.0,0,0
Diet Pepsi (30 fl oz),,,887.0,0,0.0,0.0,0.0,0,140,0,0.0,0,0
Dr Pepper (20 fl oz Bottle),,,591.0,250,0.0,0.0,0.0,0,100,66,0.0,64,0
Dr. Pepper (20 fl oz),,,591.0,240,0.0,0.0,0.0,0,75,65,0.0,64,0
Dr. Pepper (30 fl oz),,,887.0,360,0.0,0.0,0.0,0,110,98,0.0,96,0
"Agave Lemonade (20 fl oz, Drive Thru)",,,591.0,120,0.0,0.0,0.0,0,10,30,0.0,27,0
"Agave Lemonade (30 fl oz, Drive Thru)",,,887.0,180,0.0,0.0,0.0,0,15,45,0.0,41,0
"Caffeine Free Diet Pepsi (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,60,0,0.0,0,0
"Caffeine Free Diet Pepsi (30 fl oz, Drive Thru)",,,887.0,0,0.0,0.0,0.0,0,90,0,0.0,0,0
"Canada Dry Ginger Ale (20 fl oz, Drive Thru)",,,591.0,140,0.0,0.0,0.0,0,50,38,0.0,37,0
"Canada Dry Ginger Ale (30 fl oz, Drive Thru)",,,887.0,210,0.0,0.0,0.0,0,80,57,0.0,56,0
"Coke (20 fl oz, Drive Thru)",,,591.0,150,0.0,0.0,0.0,0,40,42,0.0,42,0
"Coke (30 fl oz, Drive Thru)",,,887.0,230,0.0,0.0,0.0,0,60,63,0.0,63,0
"Coke Zero (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,40,0,0.0,0,0
"Coke Zero (30 fl oz, Drive Thru)",,,887.0,0,0.0,0.0,0.0,0,65,0,0.0,0,0
"Diet Coke (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,50,0,0.0,0,0
"Diet Coke (30 fl oz, Drive Thru)",,,887.0,0,0.0,0.0,0.0,0,75,0,0.0,0,0
"Diet Dr. Pepper (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,75,0,0.0,0,0
"Diet Dr. Pepper (30 fl oz, Drive Thru)",,,887.0,0,0.0,0.0,0.0,0,110,0,0.0,0,0
"Diet Mountain Dew (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,60,1,0.0,0,0
"Diet Mountain Dew (30 fl oz, Drive Thru)",,,887.0,5,0.0,0.0,0.0,0,85,1,0.0,0,0
"Diet Pepsi (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,60,0,0.0,0,0
"Diet Pepsi (30 fl oz, Drive Thru)",,,887.0,0,0.0,0.0,0.0,0,90,0,0.0,0,0
"Dr. Pepper (20 fl oz, Drive Thru)",,,591.0,150,0.0,0.0,0.0,0,45,41,0.0,40,0
"Dr. Pepper (30 fl oz, Drive Thru)",,,887.0,220,0.0,0.0,0.0,0,70,61,0.0,60,0
"Fanta Orange (20 fl oz, Drive Thru)",,,591.0,160,0.0,0.0,0.0,0,40,42,0.0,42,0
"Fanta Orange (30 fl oz, Drive Thru)",,,887.0,230,0.0,0.0,0.0,0,65,63,0.0,63,0
"Fuji Apple Cranberry Flavored Charged Lemonade (20 fl oz, Drive Thru)",,,591.0,170,0.0,0.0,0.0,0,10,43,0.0,40,0
"Fuji Apple Cranberry Flavored Charged Lemonade (30 fl oz, Drive Thru)",,,887.0,260,0.0,0.0,0.0,0,15,64,0.0,60,0
"Lipton Brisk Raspberry Tea (20 fl oz, Drive Thru)",,,591.0,70,0.0,0.0,0.0,0,50,19,0.0,19,0
"Lipton Brisk Raspberry Tea (30 fl oz, Drive Thru)",,,887.0,110,0.0,0.0,0.0,0,75,28,0.0,28,0
"Mango Yuzu Citrus Flavored Charged Lemonade (30 fl oz, Drive Thru)",,,887.0,320,0.0,0.0,0.0,0,15,78,0.0,74,0
"Mango Yuzu Citrus Flavored Charged Lemonade (20 fl oz, Drive Thru)",,,591.0,210,0.0,0.0,0.0,0,10,52,0.0,50,0
"Mountain Dew (20 fl oz, Drive Thru)",,,591.0,180,0.0,0.0,0.0,0,55,46,0.0,46,0
"Mountain Dew (30 fl oz, Drive Thru)",,,887.0,260,0.0,0.0,0.0,0,80,69,0.0,69,0
"Mug Root Beer (20 fl oz, Drive Thru)",,,591.0,150,0.0,0.0,0.0,0,60,40,0.0,40,0
"Mug Root Beer (30 fl oz, Drive Thru)",,,887.0,230,0.0,0.0,0.0,0,90,60,0.0,59,0
"Passion Papaya Flavored Iced Green Tea (20 fl oz, Drive Thru)",,,591.0,90,0.0,0.0,0.0,0,20,23,0.0,23,0
"Passion Papaya Flavored Iced Green Tea (30 fl oz, Drive Thru)",,,887.0,130,0.0,0.0,0.0,0,25,32,0.0,32,0
"Pepsi (20 fl oz, Drive Thru)",,,591.0,160,0.0,0.0,0.0,0,35,43,0.0,43,0
"Pepsi (30 fl oz, Drive Thru)",,,887.0,240,0.0,0.0,0.0,0,50,65,0.0,64,0
"Pibb Xtra (20 fl oz, Drive Thru)",,,591.0,150,0.0,0.0,0.0,0,55,39,0.0,39,0
"Pibb Xtra (30 fl oz, Drive Thru)",,,887.0,230,0.0,0.0,0.0,0,85,58,0.0,58,0
"Powerade Mountain Blast (20 fl oz, Drive Thru)",,,591.0,90,0.0,0.0,0.0,0,120,23,0.0,23,0
"Powerade Mountain Blast (30 fl oz, Drive Thru)",,,887.0,130,0.0,0.0,0.0,0,180,35,0.0,34,0
"Sobe Life Water Yumberry Pomegranate (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,50,0,0.0,0,0
"Sobe Life Water Yumberry Pomegranate (30 fl oz, Drive Thru)",,,887.0,0,0.0,0.0,0.0,0,75,0,0.0,0,0
"Sprite (20 fl oz, Drive Thru)",,,591.0,140,0.0,0.0,0.0,0,70,38,0.0,38,0
"Sprite (30 fl oz, Drive Thru)",,,887.0,210,0.0,0.0,0.0,0,105,57,0.0,57,0
"Starry Lemon Lime (20 fl oz, Drive Thru)",,,591.0,150,0.0,0.0,0.0,0,35,41,0.0,41,0
"Starry Lemon Lime (30 fl oz, Drive Thru)",,,887.0,230,0.0,0.0,0.0,0,50,61,0.0,61,0
"Strawberry Lemon Mint Flavored Charged Lemonade (20 fl oz, Drive Thru)",,,591.0,170,0.0,0.0,0.0,0,10,43,0.0,40,0
"Strawberry Lemon Mint Flavored Charged Lemonade (30 fl oz, Drive Thru)",,,887.0,260,0.0,0.0,0.0,0,15,64,0.0,60,0
"Sweet Iced Tea (20 fl oz, Drive Thru)",,,591.0,80,0.0,0.0,0.0,0,10,18,0.0,18,2
"Sweet Iced Tea (30 fl oz, Drive Thru)",,,887.0,110,0.0,0.0,0.0,0,15,25,0.0,25,2
"Tropicana Fruit Punch (20 fl oz, Drive Thru)",,,591.0,180,0.0,0.0,0.0,0,35,47,0.0,47,0
"Tropicana Fruit Punch (30 fl oz, Drive Thru)",,,887.0,270,0.0,0.0,0.0,0,50,71,0.0,70,0
